feature,shap_importance
checking_balance,0.6734582388163997
months_loan_duration,0.20445589325373226
percent_of_income,0.20176136976092873
phone,0.19200004982643787
amount,0.11315955716001157
housing,0.09624461962346392
credit_history,0.0710149448164154
age,0.06934127195737463
savings_balance,0.056074886311427596
other_credit,0.053980799121772075
years_at_residence,0.045212539569980316
dependents,0.040375795391528906
employment_duration,0.03670739479482838
purpose,0.03167043060196892
existing_loans_count,0.012834610398206102
job,0.007427142141483587
