feature,mean_importance
years_at_residence,-0.00016105057244639732
percent_of_income,-1.1102230246251566e-17
existing_loans_count,-1.1102230246251566e-17
dependents,0.0
phone,0.0
housing,0.0010193696743758696
employment_duration,0.0026084421265065937
job,0.002754103096894078
savings_balance,0.0029879180314748453
amount,0.0038259340831468423
purpose,0.006240084958554859
age,0.012758297500933458
credit_history,0.0148942460879662
other_credit,0.02417636013442005
months_loan_duration,0.02794994698955263
checking_balance,0.14724387822064822
