feature,mean_importance
purpose,-0.004836399776062428
existing_loans_count,-0.0019549268337975658
job,-0.0019119373912057868
housing,0.00033648602985700824
other_credit,0.0014462702874364908
years_at_residence,0.0017780248578657565
employment_duration,0.0025950479763644507
dependents,0.00328595186924856
phone,0.005607009683462371
percent_of_income,0.008381521907323197
savings_balance,0.012962295930255774
age,0.013799626886492744
credit_history,0.027293012897751566
months_loan_duration,0.04539432450511187
amount,0.049743795987076345
checking_balance,0.08832428314795046
