feature,mean_importance
housing,-0.008672708067021629
years_at_residence,-0.007005840729594581
job,-0.00407680437746516
other_credit,-0.0022653513021709815
existing_loans_count,-0.0008119040282779765
savings_balance,0.002321396595198033
purpose,0.004299722630427771
dependents,0.006112468837651574
percent_of_income,0.007330806851146532
employment_duration,0.00807950636050676
age,0.012488692704181004
months_loan_duration,0.013805484558014048
phone,0.01565763531837323
amount,0.020314170869437452
credit_history,0.0339986690622347
checking_balance,0.08200595845437009
