feature,mean_importance
age,-0.007212204470063743
purpose,-0.0035265803280093654
employment_duration,-0.003083621510892054
savings_balance,-0.0022333784320981652
housing,-0.0013395618171650804
job,-0.0008544735953637028
dependents,-1.1102230246251565e-16
phone,-4.4408920985006264e-17
other_credit,-4.4408920985006264e-17
years_at_residence,-2.2204460492503132e-17
existing_loans_count,0.0011090997954235737
credit_history,0.01022148451824898
percent_of_income,0.012529094529912133
amount,0.01745319279865736
months_loan_duration,0.024757893842739253
checking_balance,0.09279277891112017
